,activity,activity_vocab,caseid,amount,resource,resource_vocab,Predicted_vocab,Predicted_value
4752,"[2, 12, 9, 10, 20]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Afhandelen leads_COMPLETE']",188476,20000.0,"[70, 53, 53, 21, 21]","['<SOS>', '112', '112', '10910', '10910']",W_Completeren aanvraag_COMPLETE,0.6390384435653687
5342,"[2, 12, 9, 10, 22, 22]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE']",190354,20000.0,"[70, 53, 53, 53, 21, 21]","['<SOS>', '112', '112', '112', '10910', '10910']",W_Completeren aanvraag_COMPLETE,0.7466844916343689
12216,"[2, 12, 9, 10, 22, 22, 22, 22, 22, 22, 22, 22, 22]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE']",211712,20000.0,"[70, 53, 53, 53, 15, 37, 49, 55, 49, 55, 46, 28, 47]","['<SOS>', '112', '112', '112', '10863', '11003', '11179', '11201', '11179', '11201', '11121', '10933', '11122']",W_Completeren aanvraag_COMPLETE,0.8933905959129333
9988,"[2, 12, 9, 10, 20, 22]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Afhandelen leads_COMPLETE', 'W_Completeren aanvraag_COMPLETE']",204808,20000.0,"[70, 53, 53, 37, 37, 55]","['<SOS>', '112', '112', '11003', '11003', '11201']",W_Completeren aanvraag_COMPLETE,0.7560431361198425
2405,"[2, 12, 9, 10, 22, 22]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE']",181246,20000.0,"[70, 53, 53, 53, 52, 52]","['<SOS>', '112', '112', '112', '11189', '11189']",W_Completeren aanvraag_COMPLETE,0.675196647644043
9046,"[2, 12, 9, 10, 22]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE']",201885,20000.0,"[70, 53, 53, 53, 48]","['<SOS>', '112', '112', '112', '11169']",W_Completeren aanvraag_COMPLETE,0.6877371072769165
11224,"[2, 12, 9, 10, 22]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE']",208661,20000.0,"[70, 53, 53, 53, 38]","['<SOS>', '112', '112', '112', '11009']",W_Completeren aanvraag_COMPLETE,0.6783526539802551
3726,"[2, 12, 9, 10, 22]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE']",185306,20000.0,"[70, 53, 53, 53, 18]","['<SOS>', '112', '112', '112', '10889']",W_Completeren aanvraag_COMPLETE,0.6510869264602661
346,"[2, 12, 9, 10, 22]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE']",174779,20000.0,"[70, 53, 53, 53, 49]","['<SOS>', '112', '112', '112', '11179']",W_Completeren aanvraag_COMPLETE,0.6685255169868469
1807,"[2, 12, 9, 10, 20, 22, 22]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Afhandelen leads_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE']",179384,20000.0,"[70, 53, 53, 16, 71, 71, 55]","['<SOS>', '112', '112', '10880', 'UNKNOWN', 'UNKNOWN', '11201']",W_Completeren aanvraag_COMPLETE,0.7662799954414368
548,"[2, 12, 9, 10]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE']",175407,20000.0,"[70, 53, 53, 53]","['<SOS>', '112', '112', '112']",W_Completeren aanvraag_COMPLETE,0.5618182420730591
305,"[2, 12, 9, 10]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE']",174656,20000.0,"[70, 53, 53, 53]","['<SOS>', '112', '112', '112']",W_Completeren aanvraag_COMPLETE,0.5618182420730591
6671,"[2, 12, 9, 20, 10, 20, 22]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'W_Afhandelen leads_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Afhandelen leads_COMPLETE', 'W_Completeren aanvraag_COMPLETE']",194454,20000.0,"[70, 53, 53, 27, 30, 30, 48]","['<SOS>', '112', '112', '10932', '10939', '10939', '11169']",W_Completeren aanvraag_COMPLETE,0.6333678364753723
11170,"[2, 12, 9, 10]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE']",208499,20000.0,"[70, 53, 53, 53]","['<SOS>', '112', '112', '112']",W_Completeren aanvraag_COMPLETE,0.5618182420730591
2990,"[2, 12, 9, 10, 20]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Afhandelen leads_COMPLETE']",183037,20000.0,"[70, 53, 53, 48, 48]","['<SOS>', '112', '112', '11169', '11169']",W_Completeren aanvraag_COMPLETE,0.6199917197227478
160,"[2, 12, 9, 10]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE']",174180,20000.0,"[70, 53, 53, 53]","['<SOS>', '112', '112', '112']",W_Completeren aanvraag_COMPLETE,0.5618182420730591
12725,"[2, 12, 9, 10]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE']",213267,20000.0,"[70, 53, 53, 53]","['<SOS>', '112', '112', '112']",W_Completeren aanvraag_COMPLETE,0.5618182420730591
11221,"[2, 12, 9, 10, 20]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Afhandelen leads_COMPLETE']",208652,20000.0,"[70, 53, 53, 56, 71]","['<SOS>', '112', '112', '11202', 'UNKNOWN']",W_Completeren aanvraag_COMPLETE,0.5758641958236694
10337,"[2, 12, 9, 10]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE']",205918,20000.0,"[70, 53, 53, 53]","['<SOS>', '112', '112', '112']",W_Completeren aanvraag_COMPLETE,0.5618182420730591
4295,"[2, 12, 9, 20, 10, 20]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'W_Afhandelen leads_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Afhandelen leads_COMPLETE']",187064,20000.0,"[70, 53, 53, 55, 7, 7]","['<SOS>', '112', '112', '11201', '10629', '10629']",W_Completeren aanvraag_COMPLETE,0.5576460957527161
3825,"[2, 12, 9, 10, 22, 22, 22]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE']",185614,20000.0,"[70, 53, 53, 53, 21, 52, 21]","['<SOS>', '112', '112', '112', '10910', '11189', '10910']",W_Completeren aanvraag_COMPLETE,0.7714688777923584
7676,"[2, 12, 9, 10]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE']",197602,20000.0,"[70, 53, 53, 53]","['<SOS>', '112', '112', '112']",W_Completeren aanvraag_COMPLETE,0.5618182420730591
1971,"[2, 12, 9, 10, 20, 22, 22, 22]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Afhandelen leads_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE']",179902,20000.0,"[70, 53, 53, 38, 38, 38, 38, 52]","['<SOS>', '112', '112', '11009', '11009', '11009', '11009', '11189']",W_Completeren aanvraag_COMPLETE,0.703344464302063
5543,"[2, 12, 9, 10, 22]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE']",190965,20000.0,"[70, 53, 53, 53, 22]","['<SOS>', '112', '112', '112', '10912']",W_Completeren aanvraag_COMPLETE,0.6596699357032776
9271,"[2, 12, 9, 10, 20]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Afhandelen leads_COMPLETE']",202593,20000.0,"[70, 53, 53, 29, 29]","['<SOS>', '112', '112', '10935', '10935']",W_Completeren aanvraag_COMPLETE,0.644183337688446
11006,"[2, 12, 9, 10, 22]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE']",207993,20000.0,"[70, 53, 53, 53, 49]","['<SOS>', '112', '112', '112', '11179']",W_Completeren aanvraag_COMPLETE,0.6685255169868469
9302,"[2, 12, 9, 10, 22]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE']",202686,20000.0,"[70, 53, 53, 53, 22]","['<SOS>', '112', '112', '112', '10912']",W_Completeren aanvraag_COMPLETE,0.6596699357032776
11789,"[2, 12, 9, 10]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE']",210416,20000.0,"[70, 53, 53, 53]","['<SOS>', '112', '112', '112']",W_Completeren aanvraag_COMPLETE,0.5618182420730591
7741,"[2, 12, 9, 20, 20, 10, 20, 22, 22, 22, 22]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'W_Afhandelen leads_COMPLETE', 'W_Afhandelen leads_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Afhandelen leads_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE']",197797,20000.0,"[70, 53, 53, 49, 49, 49, 49, 44, 44, 57, 57]","['<SOS>', '112', '112', '11179', '11179', '11179', '11179', '11119', '11119', '11203', '11203']",W_Completeren aanvraag_COMPLETE,0.6951148509979248
675,"[2, 12, 9, 10, 22, 22]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE']",175804,20000.0,"[70, 53, 53, 53, 71, 52]","['<SOS>', '112', '112', '112', 'UNKNOWN', '11189']",W_Completeren aanvraag_COMPLETE,0.6311278939247131
3776,"[2, 12, 9, 10, 20]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Afhandelen leads_COMPLETE']",185467,20000.0,"[70, 53, 53, 21, 21]","['<SOS>', '112', '112', '10910', '10910']",W_Completeren aanvraag_COMPLETE,0.6390384435653687
10726,"[2, 12, 9, 10, 22, 22, 22]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE']",207116,20000.0,"[70, 53, 53, 53, 27, 13, 33]","['<SOS>', '112', '112', '112', '10932', '10861', '10982']",W_Completeren aanvraag_COMPLETE,0.7424780130386353
3450,"[2, 12, 9, 10]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE']",184460,20000.0,"[70, 53, 53, 53]","['<SOS>', '112', '112', '112']",W_Completeren aanvraag_COMPLETE,0.5618182420730591
2542,"[2, 12, 9, 20, 10, 20]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'W_Afhandelen leads_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Afhandelen leads_COMPLETE']",181664,20000.0,"[70, 53, 53, 7, 7, 7]","['<SOS>', '112', '112', '10629', '10629', '10629']",W_Completeren aanvraag_COMPLETE,0.4624682068824768
1852,"[2, 12, 9, 10]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE']",179519,20000.0,"[70, 53, 53, 53]","['<SOS>', '112', '112', '112']",W_Completeren aanvraag_COMPLETE,0.5618182420730591
4621,"[2, 12, 9, 10]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE']",188065,20000.0,"[70, 53, 53, 53]","['<SOS>', '112', '112', '112']",W_Completeren aanvraag_COMPLETE,0.5618182420730591
1928,"[2, 12, 9, 10, 22, 22, 22]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE']",179760,20000.0,"[70, 53, 53, 53, 33, 30, 20]","['<SOS>', '112', '112', '112', '10982', '10939', '10909']",W_Completeren aanvraag_COMPLETE,0.8216201066970825
7018,"[2, 12, 9, 10, 20, 22, 22]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Afhandelen leads_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE']",195563,20000.0,"[70, 53, 53, 23, 23, 18, 39]","['<SOS>', '112', '112', '10913', '10913', '10889', '11019']",W_Completeren aanvraag_COMPLETE,0.6916736364364624
11606,"[2, 12, 9, 10, 22, 22]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE']",209841,20000.0,"[70, 53, 53, 53, 38, 28]","['<SOS>', '112', '112', '112', '11009', '10933']",W_Completeren aanvraag_COMPLETE,0.7408064603805542
2123,"[2, 12, 9, 10, 22]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE']",180382,20000.0,"[70, 53, 53, 53, 71]","['<SOS>', '112', '112', '112', 'UNKNOWN']",W_Completeren aanvraag_COMPLETE,0.6729100942611694
7325,"[2, 12, 9, 10, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE']",196515,20000.0,"[70, 53, 53, 53, 51, 13, 13, 37, 71, 71, 71, 46, 21, 49]","['<SOS>', '112', '112', '112', '11181', '10861', '10861', '11003', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', '11121', '10910', '11179']",W_Completeren aanvraag_COMPLETE,0.8439527153968811
9450,"[2, 12, 9, 10, 22, 22]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE']",203146,20000.0,"[70, 53, 53, 53, 27, 44]","['<SOS>', '112', '112', '112', '10932', '11119']",W_Completeren aanvraag_COMPLETE,0.6497616171836853
12658,"[2, 12, 9, 10]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE']",213052,20000.0,"[70, 53, 53, 53]","['<SOS>', '112', '112', '112']",W_Completeren aanvraag_COMPLETE,0.5618182420730591
1699,"[2, 12, 9, 10]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE']",179056,20000.0,"[70, 53, 53, 53]","['<SOS>', '112', '112', '112']",W_Completeren aanvraag_COMPLETE,0.5618182420730591
4567,"[2, 12, 9, 10]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE']",187891,20000.0,"[70, 53, 53, 53]","['<SOS>', '112', '112', '112']",W_Completeren aanvraag_COMPLETE,0.5618182420730591
9132,"[2, 12, 9, 10]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE']",202143,20000.0,"[70, 53, 53, 53]","['<SOS>', '112', '112', '112']",W_Completeren aanvraag_COMPLETE,0.5618182420730591
1815,"[2, 12, 9, 10]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE']",179408,20000.0,"[70, 53, 53, 53]","['<SOS>', '112', '112', '112']",W_Completeren aanvraag_COMPLETE,0.5618182420730591
1675,"[2, 12, 9, 10, 22]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE']",178966,20000.0,"[70, 53, 53, 53, 30]","['<SOS>', '112', '112', '112', '10939']",W_Completeren aanvraag_COMPLETE,0.6072261333465576
2329,"[2, 12, 9, 20, 10, 20]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'W_Afhandelen leads_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Afhandelen leads_COMPLETE']",181013,20000.0,"[70, 53, 53, 47, 23, 23]","['<SOS>', '112', '112', '11122', '10913', '10913']",W_Completeren aanvraag_COMPLETE,0.6127431988716125
4732,"[2, 12, 9, 10, 22, 22]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE']",188416,20000.0,"[70, 53, 53, 53, 21, 48]","['<SOS>', '112', '112', '112', '10910', '11169']",W_Completeren aanvraag_COMPLETE,0.7520065903663635
513,"[2, 12, 9, 10]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE']",175302,20000.0,"[70, 53, 53, 53]","['<SOS>', '112', '112', '112']",W_Completeren aanvraag_COMPLETE,0.5618182420730591
1865,"[2, 12, 9, 10]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE']",179558,20000.0,"[70, 53, 53, 53]","['<SOS>', '112', '112', '112']",W_Completeren aanvraag_COMPLETE,0.5618182420730591
11985,"[2, 12, 9, 10, 20]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Afhandelen leads_COMPLETE']",211008,20000.0,"[70, 53, 53, 7, 7]","['<SOS>', '112', '112', '10629', '10629']",A_ACCEPTED_COMPLETE,0.4379449486732483
9113,"[2, 12, 9, 20, 20, 20, 20, 10, 20]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'W_Afhandelen leads_COMPLETE', 'W_Afhandelen leads_COMPLETE', 'W_Afhandelen leads_COMPLETE', 'W_Afhandelen leads_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Afhandelen leads_COMPLETE']",202086,20000.0,"[70, 53, 53, 50, 50, 50, 50, 50, 50]","['<SOS>', '112', '112', '11180', '11180', '11180', '11180', '11180', '11180']",W_Completeren aanvraag_COMPLETE,0.5929163098335266
5457,"[2, 12, 9, 10, 20]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Afhandelen leads_COMPLETE']",190707,20000.0,"[70, 53, 53, 25, 25]","['<SOS>', '112', '112', '10929', '10929']",W_Completeren aanvraag_COMPLETE,0.6100557446479797
